task,rmse,relative,runs
namd2,79.83513198437066,1.7976931348623157E308,1
namd3,68.78373674052047,1.7976931348623157E308,1
sassena5,159.3830733217002,1.7976931348623157E308,1
sassena6,44.8165336653373,1.7976931348623157E308,1
