row ID,id,time,atoms,cores,timesteps,outfreq,task,read_bytes,Prediction (read_bytes)
1,4249.0,0.0031847133757961785,0.0,0.0,0.0,0.0,sassena_ID0000005,0.06248479829956305,0.062445229237335156
2,4250.0,0.006369426751592357,0.0,0.0,0.0,0.0,sassena_ID0000005,1.6119948918929988E-4,7.809148302562615E-4
3,4251.0,0.009554140127388536,0.0,0.0,0.0,0.0,sassena_ID0000005,1.64021985504584E-4,3.0093020278226183E-4
4,4252.0,0.012738853503184714,0.0,0.0,0.0,0.0,sassena_ID0000005,1.2704463083544696E-4,2.2141708077843373E-4
5,4253.0,0.01592356687898089,0.0,0.0,0.0,0.0,sassena_ID0000005,1.902930014738979E-4,1.9620762184286542E-4
6,4254.0,0.019108280254777073,0.0,0.0,0.0,0.0,sassena_ID0000005,1.6473135830143718E-4,1.848745134298337E-4
7,4268.0,0.0031847133757961785,0.0,0.0,0.0,1.0,sassena_ID0000005,0.03568419689676623,0.035692402866503666
8,4269.0,0.006369426751592357,0.0,0.0,0.0,1.0,sassena_ID0000005,1.6624468693472396E-4,3.919113371011363E-4
9,4270.0,0.009554140127388536,0.0,0.0,0.0,1.0,sassena_ID0000005,1.6624353348302176E-4,1.1555344910139039E-4
10,4271.0,0.012738853503184714,0.0,0.0,0.0,1.0,sassena_ID0000005,6.657146499248996E-5,8.433824325737936E-5
11,4360.0,0.0031847133757961785,0.0,0.0,1.0,0.0,sassena_ID0000005,1.0496871870703555E-4,0.5383352874418942
12,4361.0,0.006369426751592357,0.0,0.0,1.0,0.0,sassena_ID0000005,0.5382361539989285,8.887748744899519E-4
13,4362.0,0.009554140127388536,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6141749156101573E-4,1.4933700285980675E-4
14,4363.0,0.012738853503184714,0.0,0.0,1.0,0.0,sassena_ID0000005,1.5556141726894484E-4,9.189936619074553E-5
15,4364.0,0.01592356687898089,0.0,0.0,1.0,0.0,sassena_ID0000005,5.197015058467688E-4,7.563374394897172E-5
16,4365.0,0.019108280254777073,0.0,0.0,1.0,0.0,sassena_ID0000005,1.5975998146495392E-4,6.817443337537111E-5
17,4366.0,0.02229299363057325,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6038630573924866E-4,6.37098177060977E-5
18,4367.0,0.025477707006369428,0.0,0.0,1.0,0.0,sassena_ID0000005,3.431161244018192E-4,6.062531259722302E-5
19,4368.0,0.028662420382165606,0.0,0.0,1.0,0.0,sassena_ID0000005,1.597703625302737E-4,5.834504616995668E-5
20,4369.0,0.03184713375796178,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6038630573924866E-4,5.661472548825721E-5
21,4370.0,0.03503184713375796,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5298079458507946E-4,5.529740810768387E-5
22,4371.0,0.038216560509554146,0.0,0.0,1.0,0.0,sassena_ID0000005,2.490013862124885E-4,5.43062904854046E-5
23,4372.0,0.04140127388535032,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6005411164901498E-4,5.357967310895261E-5
24,4373.0,0.0445859872611465,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5298079458507946E-4,5.307038288176673E-5
25,4374.0,0.04777070063694268,0.0,0.0,1.0,0.0,sassena_ID0000005,2.4899446550227523E-4,5.274068407518726E-5
26,4375.0,0.050955414012738856,0.0,0.0,1.0,0.0,sassena_ID0000005,1.5993184576858175E-4,5.255951455480637E-5
27,4376.0,0.054140127388535034,0.0,0.0,1.0,0.0,sassena_ID0000005,2.530961397552995E-4,5.2500829302069286E-5
28,4377.0,0.05732484076433121,0.0,0.0,1.0,0.0,sassena_ID0000005,2.496104087112502E-4,5.254253297176042E-5
29,4378.0,0.06050955414012739,0.0,0.0,1.0,0.0,sassena_ID0000005,1.597703625302737E-4,5.2665754243077294E-5
30,4379.0,0.06369426751592357,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5325762299360755E-4,5.2854329525430264E-5
31,4380.0,0.06687898089171974,0.0,0.0,1.0,0.0,sassena_ID0000005,2.4855384695203475E-4,5.309441814677319E-5
32,4381.0,0.07006369426751592,0.0,0.0,1.0,0.0,sassena_ID0000005,1.597703625302737E-4,5.3374200773316207E-5
33,4382.0,0.0732484076433121,0.0,0.0,1.0,0.0,sassena_ID0000005,1.597703625302737E-4,5.368363088010779E-5
34,4383.0,0.07643312101910829,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5298771529529265E-4,5.401422088072846E-5
35,4384.0,0.07961783439490447,0.0,0.0,1.0,0.0,sassena_ID0000005,2.492782146210165E-4,5.435885229615749E-5
36,4385.0,0.08280254777070065,0.0,0.0,1.0,0.0,sassena_ID0000005,1.597703625302737E-4,5.471160428957839E-5
37,4386.0,0.08598726114649682,0.0,0.0,1.0,0.0,sassena_ID0000005,0.0014398618340185423,5.50675978233382E-5
38,4387.0,0.089171974522293,0.0,0.0,1.0,0.0,sassena_ID0000005,0.0014311636547322498,5.542285423922249E-5
39,4388.0,0.09235668789808918,0.0,0.0,1.0,0.0,sassena_ID0000005,1.5949930138025665E-4,5.577416772486577E-5
40,4389.0,0.09554140127388536,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5325531609020314E-4,5.611899128290181E-5
41,4390.0,0.09872611464968153,0.0,0.0,1.0,0.0,sassena_ID0000005,2.492263092944175E-4,5.64553357245462E-5
42,4391.0,0.10191082802547771,0.0,0.0,1.0,0.0,sassena_ID0000005,1.597807435955935E-4,5.678168102824023E-5
43,4392.0,0.10509554140127389,0.0,0.0,1.0,0.0,sassena_ID0000005,2.532691575106295E-4,5.709689922735146E-5
44,4393.0,0.10828025477707007,0.0,0.0,1.0,0.0,sassena_ID0000005,1.5950506863876766E-4,5.7400187860584625E-5
45,4394.0,0.11146496815286625,0.0,0.0,1.0,0.0,sassena_ID0000005,2.488179873918386E-4,5.769101294700348E-5
46,4395.0,0.11464968152866242,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5330952832020655E-4,5.7969060430693476E-5
47,4396.0,0.1178343949044586,0.0,0.0,1.0,0.0,sassena_ID0000005,1.5961349309877448E-4,5.823419506730612E-5
48,4397.0,0.12101910828025478,0.0,0.0,1.0,0.0,sassena_ID0000005,2.4967615545827565E-4,5.848642578339448E-5
49,4398.0,0.12420382165605096,0.0,0.0,1.0,0.0,sassena_ID0000005,1.600206615496512E-4,5.872587661783558E-5
50,4399.0,0.12738853503184713,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5330260760999336E-4,5.895276244310324E-5
51,4400.0,0.1305732484076433,0.0,0.0,1.0,0.0,sassena_ID0000005,2.499033854436091E-4,5.916736875545001E-5
52,4401.0,0.1337579617834395,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6027326747243304E-4,5.937003491208711E-5
53,4402.0,0.13694267515923567,0.0,0.0,1.0,0.0,sassena_ID0000005,2.540984892845115E-4,5.956114027700133E-5
54,4403.0,0.14012738853503184,0.0,0.0,1.0,0.0,sassena_ID0000005,2.503440039938496E-4,5.97410928132657E-5
55,4404.0,0.14331210191082802,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6034132112286285E-4,5.991031972776557E-5
56,4405.0,0.1464968152866242,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5410540999472477E-4,6.006925983408714E-5
57,4406.0,0.14968152866242038,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6034132112286285E-4,6.021835735121727E-5
58,4407.0,0.15286624203821658,0.0,0.0,1.0,0.0,sassena_ID0000005,2.503451574455518E-4,6.035805690028958E-5
59,4408.0,0.15605095541401276,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5410540999472477E-4,6.0488799499630705E-5
60,4409.0,0.15923566878980894,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6034132112286285E-4,6.061101939056098E-5
61,4410.0,0.16242038216560511,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5095648684771794E-4,6.072514155357579E-5
62,4411.0,0.1656050955414013,0.0,0.0,1.0,0.0,sassena_ID0000005,0.0014357094078906213,6.083157979736676E-5
63,4412.0,0.16878980891719747,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6061238227287994E-4,6.09307353222886E-5
64,4413.0,0.17197452229299365,0.0,0.0,1.0,0.0,sassena_ID0000005,0.0014322259837499763,6.1022995675909356E-5
65,4414.0,0.17515923566878983,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6033555386435185E-4,6.110873403169433E-5
66,4415.0,0.178343949044586,0.0,0.0,1.0,0.0,sassena_ID0000005,2.5409964273621373E-4,6.118830873308333E-5
67,4416.0,0.18152866242038218,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6061238227287994E-4,6.126206305460827E-5
68,4417.0,0.18471337579617836,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6062853059671073E-4,6.133032513954097E-5
69,4418.0,0.18789808917197454,0.0,0.0,1.0,0.0,sassena_ID0000005,2.54106563446427E-4,6.139340808015062E-5
70,4419.0,0.1910828025477707,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6061238227287994E-4,6.145161011215419E-5
71,4420.0,0.1942675159235669,0.0,0.0,1.0,0.0,sassena_ID0000005,9.647816072713918E-5,6.150521489958663E-5
72,4524.0,0.0031847133757961785,0.0,0.0,1.0,1.0,sassena_ID0000005,0.27771431134068697,0.27772368887176346
73,4525.0,0.006369426751592357,0.0,0.0,1.0,1.0,sassena_ID0000005,5.19989868772319E-4,0.0010015841323450562
74,4526.0,0.009554140127388536,0.0,0.0,1.0,1.0,sassena_ID0000005,1.604566662930829E-4,1.5565650808031854E-4
75,4527.0,0.012738853503184714,0.0,0.0,1.0,1.0,sassena_ID0000005,3.4275740092243497E-4,9.32466243051383E-5
76,4528.0,0.01592356687898089,0.0,0.0,1.0,1.0,sassena_ID0000005,3.4307690704394445E-4,7.819429102891276E-5
77,4529.0,0.019108280254777073,0.0,0.0,1.0,1.0,sassena_ID0000005,1.6026057950370884E-4,7.246063510237765E-5
78,4530.0,0.02229299363057325,0.0,0.0,1.0,1.0,sassena_ID0000005,3.425382450990169E-4,6.956424968549713E-5
79,4531.0,0.025477707006369428,0.0,0.0,1.0,1.0,sassena_ID0000005,3.425382450990169E-4,6.781323361645175E-5
80,4532.0,0.028662420382165606,0.0,0.0,1.0,1.0,sassena_ID0000005,1.6108414401907984E-4,6.663759817935396E-5
81,4533.0,0.03184713375796178,0.0,0.0,1.0,1.0,sassena_ID0000005,3.423306237926208E-4,6.580732987487521E-5
82,4534.0,0.03503184713375796,0.0,0.0,1.0,1.0,sassena_ID0000005,2.5324493502488333E-4,6.521212010541925E-5
83,4535.0,0.038216560509554146,0.0,0.0,1.0,1.0,sassena_ID0000005,2.496461657140184E-4,6.478928817298541E-5
84,4536.0,0.04140127388535032,0.0,0.0,1.0,1.0,sassena_ID0000005,3.4245288967305407E-4,6.449771238846987E-5
85,4537.0,0.0445859872611465,0.0,0.0,1.0,1.0,sassena_ID0000005,2.5324493502488333E-4,6.430753219336271E-5
86,4538.0,0.04777070063694268,0.0,0.0,1.0,1.0,sassena_ID0000005,2.495538895778424E-4,6.419568351620105E-5
87,4539.0,0.050955414012738856,0.0,0.0,1.0,1.0,sassena_ID0000005,3.433802648416231E-4,6.414375160199745E-5
88,4540.0,0.054140127388535034,0.0,0.0,1.0,1.0,sassena_ID0000005,2.534710115585146E-4,6.41368133841308E-5
89,4541.0,0.05732484076433121,0.0,0.0,1.0,1.0,sassena_ID0000005,2.492770611693143E-4,6.416273315073013E-5
90,4542.0,0.06050955414012739,0.0,0.0,1.0,1.0,sassena_ID0000005,3.430411500411762E-4,6.421168007557341E-5
91,4543.0,0.06369426751592357,0.0,0.0,1.0,1.0,sassena_ID0000005,2.534710115585146E-4,6.427576200193963E-5
92,4544.0,0.06687898089171974,0.0,0.0,1.0,1.0,sassena_ID0000005,2.492770611693143E-4,6.434872565057109E-5
93,4545.0,0.07006369426751592,0.0,0.0,1.0,1.0,sassena_ID0000005,3.4305614491330483E-4,6.442569962786674E-5
94,4546.0,0.0732484076433121,0.0,0.0,1.0,1.0,sassena_ID0000005,2.5360250505256543E-4,6.450296924826357E-5
95,4547.0,0.07643312101910829,0.0,0.0,1.0,1.0,sassena_ID0000005,2.5013868959085795E-4,6.457777815744297E-5
96,4548.0,0.07961783439490447,0.0,0.0,1.0,1.0,sassena_ID0000005,0.0014417304257761069,6.464815433014801E-5
97,4549.0,0.08280254777070065,0.0,0.0,1.0,1.0,sassena_ID0000005,0.0015257916789290598,6.471275891112607E-5
98,4550.0,0.08598726114649682,0.0,0.0,1.0,1.0,sassena_ID0000005,2.4969345723380865E-4,6.477075648321429E-5
99,4551.0,0.089171974522293,0.0,0.0,1.0,1.0,sassena_ID0000005,2.541688498383458E-4,6.482170517276078E-5
100,4570.0,0.0031847133757961785,0.0,1.0,0.0,0.0,sassena_ID0000005,0.07253220579892192,0.07118994613731419
101,4581.0,0.0031847133757961785,0.0,1.0,0.0,1.0,sassena_ID0000005,0.0432151638020511,0.04324643531306333
102,4650.0,0.0031847133757961785,0.0,1.0,1.0,0.0,sassena_ID0000005,0.5459271288777944,0.5460717359830725
103,4651.0,0.006369426751592357,0.0,1.0,1.0,0.0,sassena_ID0000005,3.1682896010867454E-4,0.001443656349061456
104,4652.0,0.009554140127388536,0.0,1.0,1.0,0.0,sassena_ID0000005,3.1696276050612976E-4,1.3634480112827214E-4
105,4653.0,0.012738853503184714,0.0,1.0,1.0,0.0,sassena_ID0000005,9.684818803320504E-4,8.618467517912896E-5
106,4654.0,0.01592356687898089,0.0,1.0,1.0,0.0,sassena_ID0000005,3.1682780665697233E-4,7.268820619693548E-5
107,4655.0,0.019108280254777073,0.0,1.0,1.0,0.0,sassena_ID0000005,3.166351802227049E-4,6.672178251819935E-5
108,4656.0,0.02229299363057325,0.0,1.0,1.0,0.0,sassena_ID0000005,4.990627945392989E-4,6.321700936182674E-5
109,4657.0,0.025477707006369428,0.0,1.0,1.0,0.0,sassena_ID0000005,4.955309254271617E-4,6.0777250311882954E-5
110,4658.0,0.028662420382165606,0.0,1.0,1.0,0.0,sassena_ID0000005,3.171749956193346E-4,5.892604573970281E-5
111,4659.0,0.03184713375796178,0.0,1.0,1.0,0.0,sassena_ID0000005,4.0978563278899624E-4,5.746801038347404E-5
112,4660.0,0.03503184713375796,0.0,1.0,1.0,0.0,sassena_ID0000005,5.84494348314466E-4,5.63047047435436E-5
113,4661.0,0.038216560509554146,0.0,1.0,1.0,0.0,sassena_ID0000005,3.166813182907929E-4,5.537549902533682E-5
114,4662.0,0.04140127388535032,0.0,1.0,1.0,0.0,sassena_ID0000005,3.167897427507997E-4,5.463704281045473E-5
115,4663.0,0.0445859872611465,0.0,1.0,1.0,0.0,sassena_ID0000005,6.777209286931025E-4,5.4055519653083276E-5
116,4664.0,0.04777070063694268,0.0,1.0,1.0,0.0,sassena_ID0000005,3.165659731205729E-4,5.360337935268808E-5
117,4740.0,0.0031847133757961785,0.0,1.0,1.0,1.0,sassena_ID0000005,0.28528155891581286,0.28497749209222933
118,4741.0,0.006369426751592357,0.0,1.0,1.0,1.0,sassena_ID0000005,0.0010338329934236124,0.003436706913391476
119,4742.0,0.009554140127388536,0.0,1.0,1.0,1.0,sassena_ID0000005,3.177863250215008E-4,1.7007853548791981E-4
120,4743.0,0.012738853503184714,0.0,1.0,1.0,1.0,sassena_ID0000005,6.779354707097117E-4,9.788979994360566E-5
121,4744.0,0.01592356687898089,0.0,1.0,1.0,1.0,sassena_ID0000005,5.898002261445872E-4,8.248555948536551E-5
122,4745.0,0.019108280254777073,0.0,1.0,1.0,1.0,sassena_ID0000005,4.073149392428832E-4,7.730167395881767E-5
123,4746.0,0.02229299363057325,0.0,1.0,1.0,1.0,sassena_ID0000005,6.786667590889067E-4,7.512553504621801E-5
124,4747.0,0.025477707006369428,0.0,1.0,1.0,1.0,sassena_ID0000005,1.2728800914461123E-4,7.407841596013442E-5
125,4763.0,0.0031847133757961785,1.0,0.0,0.0,0.0,sassena_ID0000005,0.10768196123053896,0.10809634238982936
126,4764.0,0.006369426751592357,1.0,0.0,0.0,0.0,sassena_ID0000005,1.6323879179878998E-4,8.570572452637859E-4
127,4765.0,0.009554140127388536,1.0,0.0,0.0,0.0,sassena_ID0000005,1.6095957123524223E-4,3.003640481952448E-4
128,4766.0,0.012738853503184714,1.0,0.0,0.0,0.0,sassena_ID0000005,1.617104682933746E-4,2.1534502830185173E-4
129,4767.0,0.01592356687898089,1.0,0.0,0.0,0.0,sassena_ID0000005,1.6160089038166558E-4,1.8634890130283675E-4
130,4768.0,0.019108280254777073,1.0,0.0,0.0,0.0,sassena_ID0000005,1.620657314176523E-4,1.7211126656432052E-4
131,4769.0,0.02229299363057325,1.0,0.0,0.0,0.0,sassena_ID0000005,1.6241407383171678E-4,1.6359985714369289E-4
132,4770.0,0.025477707006369428,1.0,0.0,0.0,0.0,sassena_ID0000005,1.620668848693545E-4,1.5798788797807294E-4
133,4771.0,0.028662420382165606,1.0,0.0,0.0,0.0,sassena_ID0000005,1.6195846040934766E-4,1.5413819107562064E-4
134,4772.0,0.03184713375796178,1.0,0.0,0.0,0.0,sassena_ID0000005,1.6253518626044782E-4,1.514824979287883E-4
135,4773.0,0.03503184713375796,1.0,0.0,0.0,0.0,sassena_ID0000005,1.620599641591413E-4,1.4968455950882298E-4
136,4791.0,0.0031847133757961785,1.0,0.0,0.0,1.0,sassena_ID0000005,1.051717262066228E-4,0.05966215304616848
137,4792.0,0.006369426751592357,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,5.463564735205791E-4
138,4793.0,0.009554140127388536,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,2.599330029719807E-4
139,4794.0,0.012738853503184714,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,2.0400299001541915E-4
140,4795.0,0.01592356687898089,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,1.8272587668249703E-4
141,4796.0,0.019108280254777073,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,1.7002489430043225E-4
142,4797.0,0.02229299363057325,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,1.5426823779329365E-4
143,4798.0,0.025477707006369428,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,1.2690742707324935E-4
144,4799.0,0.028662420382165606,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,9.547259321771621E-5
145,4800.0,0.03184713375796178,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,7.498699843715262E-5
146,4801.0,0.03503184713375796,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.546025482254958E-5
147,4802.0,0.038216560509554146,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.155170938130684E-5
148,4803.0,0.04140127388535032,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.009212181808944E-5
149,4804.0,0.0445859872611465,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,5.9696143036746095E-5
150,4805.0,0.04777070063694268,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,5.977145527861118E-5
151,4806.0,0.050955414012738856,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.0052634295174476E-5
152,4807.0,0.054140127388535034,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.041487298841188E-5
153,4808.0,0.05732484076433121,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.079810494262081E-5
154,4809.0,0.06050955414012739,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.117385203948913E-5
155,4810.0,0.06369426751592357,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.152956897726293E-5
156,4811.0,0.06687898089171974,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.18607705595915E-5
157,4812.0,0.07006369426751592,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.216691977054151E-5
158,4813.0,0.0732484076433121,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.244925609701765E-5
159,4814.0,0.07643312101910829,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.27096662783138E-5
160,4815.0,0.07961783439490447,1.0,0.0,0.0,1.0,sassena_ID0000005,0.0,6.295012426862935E-5
161,4816.0,0.08280254777070065,1.0,0.0,0.0,1.0,sassena_ID0000005,0.05962351025008223,6.317244042842843E-5
162,4817.0,0.08598726114649682,1.0,0.0,0.0,1.0,sassena_ID0000005,1.6514083365571828E-4,6.337817437225369E-5
163,4818.0,0.089171974522293,1.0,0.0,0.0,1.0,sassena_ID0000005,1.6375899851648232E-4,6.356862985290551E-5
164,4819.0,0.09235668789808918,1.0,0.0,0.0,1.0,sassena_ID0000005,1.6409926676863142E-4,6.374488652105313E-5
165,4820.0,0.09554140127388536,1.0,0.0,0.0,1.0,sassena_ID0000005,1.635663720822149E-4,6.390784428261657E-5
166,4821.0,0.09872611464968153,1.0,0.0,0.0,1.0,sassena_ID0000005,1.6459640445227975E-4,6.405826786770297E-5
167,4822.0,0.10191082802547771,1.0,0.0,0.0,1.0,sassena_ID0000005,6.578365747988716E-5,6.419682589593001E-5
168,4932.0,0.0031847133757961785,1.0,0.0,1.0,0.0,sassena_ID0000005,0.9906077207708432,0.9918738819122584
169,4933.0,0.006369426751592357,1.0,0.0,1.0,0.0,sassena_ID0000005,1.6026750021392203E-4,0.001586631688201606
170,4934.0,0.009554140127388536,1.0,0.0,1.0,0.0,sassena_ID0000005,1.6032286589562765E-4,1.9755719221087163E-4
171,4935.0,0.012738853503184714,1.0,0.0,1.0,0.0,sassena_ID0000005,1.608765227126838E-4,1.1032468925905723E-4
172,4936.0,0.01592356687898089,1.0,0.0,1.0,0.0,sassena_ID0000005,1.600817944898678E-4,8.635047487902327E-5
173,4937.0,0.019108280254777073,1.0,0.0,1.0,0.0,sassena_ID0000005,1.601221652994448E-4,7.541063296517537E-5
174,4938.0,0.02229299363057325,1.0,0.0,1.0,0.0,sassena_ID0000005,1.6067582211650095E-4,6.885448568191968E-5
175,4939.0,0.025477707006369428,1.0,0.0,1.0,0.0,sassena_ID0000005,1.6073810850841976E-4,6.430823235870618E-5
176,4940.0,0.028662420382165606,1.0,0.0,1.0,0.0,sassena_ID0000005,1.601221652994448E-4,6.0907194469643844E-5
177,4941.0,0.03184713375796178,1.0,0.0,1.0,0.0,sassena_ID0000005,1.6026057950370884E-4,5.825602942933231E-5
