row ID,id,time,atoms,cores,timesteps,outfreq,task,utime,Prediction (utime)
1,4239.0,0.0031847133757961785,0.0,0.0,0.0,0.0,namd_ID0000002,0.006303666713004053,0.21999799620608132
2,4240.0,0.006369426751592357,0.0,0.0,0.0,0.0,namd_ID0000002,0.4310082658767924,0.37255536818796536
3,4241.0,0.009554140127388536,0.0,0.0,0.0,0.0,namd_ID0000002,0.38433119112033104,0.24419171896141934
4,4258.0,0.0031847133757961785,0.0,0.0,0.0,1.0,namd_ID0000002,0.0613310948811446,0.2922958031041818
5,4259.0,0.006369426751592357,0.0,0.0,0.0,1.0,namd_ID0000002,0.38809414331084185,0.3519000374880596
6,4260.0,0.009554140127388536,0.0,0.0,0.0,1.0,namd_ID0000002,0.23056128832190936,0.11301144607392784
7,4275.0,0.0031847133757961785,0.0,0.0,1.0,0.0,namd_ID0000002,0.3290332239058139,0.2909420463934929
8,4276.0,0.006369426751592357,0.0,0.0,1.0,0.0,namd_ID0000002,0.3843044580129816,0.382424878854558
9,4277.0,0.009554140127388536,0.0,0.0,1.0,0.0,namd_ID0000002,0.3849952415068918,0.38222048215221927
10,4278.0,0.012738853503184714,0.0,0.0,1.0,0.0,namd_ID0000002,0.38531496947079136,0.4000211711255817
11,4279.0,0.01592356687898089,0.0,0.0,1.0,0.0,namd_ID0000002,0.38542083257589527,0.3990003886966695
12,4280.0,0.019108280254777073,0.0,0.0,1.0,0.0,namd_ID0000002,0.38539516879283975,0.38854250316004935
13,4281.0,0.02229299363057325,0.0,0.0,1.0,0.0,namd_ID0000002,0.38544328838606884,0.3825822781664645
14,4282.0,0.025477707006369428,0.0,0.0,1.0,0.0,namd_ID0000002,0.3854529123047146,0.3794061925002509
15,4283.0,0.028662420382165606,0.0,0.0,1.0,0.0,namd_ID0000002,0.39035683351690065,0.3771227893804284
16,4284.0,0.03184713375796178,0.0,0.0,1.0,0.0,namd_ID0000002,0.3854807147363581,0.374969984306784
17,4285.0,0.03503184713375796,0.0,0.0,1.0,0.0,namd_ID0000002,0.3855502208154667,0.37271797472193596
18,4286.0,0.038216560509554146,0.0,0.0,1.0,0.0,namd_ID0000002,0.38543580311601094,0.3703314969479383
19,4287.0,0.04140127388535032,0.0,0.0,1.0,0.0,namd_ID0000002,0.3854186939273073,0.36783686550585576
20,4288.0,0.0445859872611465,0.0,0.0,1.0,0.0,namd_ID0000002,0.3854080006843675,0.3652746837777753
21,4289.0,0.04777070063694268,0.0,0.0,1.0,0.0,namd_ID0000002,0.385432595143129,0.3626840639364123
22,4290.0,0.050955414012738856,0.0,0.0,1.0,0.0,namd_ID0000002,0.3854700214934183,0.36009794848442966
23,4291.0,0.054140127388535034,0.0,0.0,1.0,0.0,namd_ID0000002,0.38545505095330257,0.35754226694603075
24,4292.0,0.05732484076433121,0.0,0.0,1.0,0.0,namd_ID0000002,0.38541441663013143,0.3550363681342076
25,4293.0,0.06050955414012739,0.0,0.0,1.0,0.0,namd_ID0000002,0.38546681352053636,0.35259380807615226
