row ID,id,time,atoms,cores,timesteps,outfreq,task,utime,Prediction (utime)
1,4249.0,0.0031847133757961785,0.0,0.0,0.0,0.0,sassena_ID0000005,0.09783996492616315,0.1532722782857999
2,4250.0,0.006369426751592357,0.0,0.0,0.0,0.0,sassena_ID0000005,0.1756001582599955,0.16493564659464202
3,4251.0,0.009554140127388536,0.0,0.0,0.0,0.0,sassena_ID0000005,0.18008169637605995,0.17304439032270685
4,4252.0,0.012738853503184714,0.0,0.0,0.0,0.0,sassena_ID0000005,0.13969759508966284,0.17231094500242222
5,4253.0,0.01592356687898089,0.0,0.0,0.0,0.0,sassena_ID0000005,0.2111519830619032,0.16748071956261562
6,4254.0,0.019108280254777073,0.0,0.0,0.0,0.0,sassena_ID0000005,0.18051905001229723,0.1608725312658625
7,4268.0,0.0031847133757961785,0.0,0.0,0.0,1.0,sassena_ID0000005,0.09723151940288931,0.12273444738545701
8,4269.0,0.006369426751592357,0.0,0.0,0.0,1.0,sassena_ID0000005,0.17122769122191686,0.1670423657543796
9,4270.0,0.009554140127388536,0.0,0.0,0.0,1.0,sassena_ID0000005,0.17121806730327105,0.17478701639471417
10,4271.0,0.012738853503184714,0.0,0.0,0.0,1.0,sassena_ID0000005,0.069369205598982,0.09516663638549425
11,4360.0,0.0031847133757961785,0.0,0.0,1.0,0.0,sassena_ID0000005,0.0,0.15402354755714875
12,4361.0,0.006369426751592357,0.0,0.0,1.0,0.0,sassena_ID0000005,0.22729450260380465,0.18829354799049358
13,4362.0,0.009554140127388536,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19082840553054523,0.19296291890818462
14,4363.0,0.012738853503184714,0.0,0.0,1.0,0.0,sassena_ID0000005,0.18697776874792818,0.19335701530165675
15,4364.0,0.01592356687898089,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1916517852369088,0.1928918389455978
16,4365.0,0.019108280254777073,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1912700364639584,0.1923520426106273
17,4366.0,0.02229299363057325,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19129890821989584,0.19189633092561093
18,4367.0,0.025477707006369428,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1913256413272453,0.19154814636966905
19,4368.0,0.028662420382165606,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1913170867328935,0.19130194271346465
20,4369.0,0.03184713375796178,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19129035362554403,0.19114600682797564
21,4370.0,0.03503184713375796,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19130318551707176,0.19106761463667932
22,4371.0,0.038216560509554146,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19148390132275414,0.19105438159530458
23,4372.0,0.04140127388535032,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19129035362554403,0.1910947194400664
24,4373.0,0.0445859872611465,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19135451308318271,0.19117802494590552
25,4374.0,0.04777070063694268,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1913170867328935,0.19129475022667744
26,4375.0,0.050955414012738856,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1912807297068982,0.1914364035143854
27,4376.0,0.054140127388535034,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19134916646171285,0.19159550576555262
28,4377.0,0.05732484076433121,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1913962167306479,0.1917655203998537
29,4378.0,0.06050955414012739,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1912604125453126,0.19194076875352195
30,4379.0,0.06369426751592357,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19134381984024296,0.19211634019767962
31,4380.0,0.06687898089171974,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19082305890907533,0.19228800298154336
32,4381.0,0.07006369426751592,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19130639348995368,0.19245211963548903
33,4382.0,0.0732484076433121,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1912753830854283,0.19260556912905596
34,4383.0,0.07643312101910829,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19132136403006939,0.1927456768224674
35,4384.0,0.07961783439490447,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19134809713741885,0.1928701524717999
36,4385.0,0.08280254777070065,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19134916646171285,0.1929770360520881
37,4386.0,0.08598726114649682,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19130853213854163,0.19306465087004016
38,4387.0,0.089171974522293,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19130211619277776,0.19313156328637926
39,4388.0,0.09235668789808918,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1912807297068982,0.1931765483102394
40,4389.0,0.09554140127388536,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19134702781312488,0.19319856033052138
41,4390.0,0.09872611464968153,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19135237443459477,0.19319670828764404
42,4391.0,0.10191082802547771,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19131815605718747,0.19317023464731467
43,4392.0,0.10509554140127389,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19136948362329845,0.19311849760487299
44,4393.0,0.10828025477707007,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19134168119165498,0.19304095601752536
45,4394.0,0.11146496815286625,0.0,0.0,1.0,0.0,sassena_ID0000005,0.18980078488403176,0.19293715662810088
46,4395.0,0.11464968152866242,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19191376968893356,0.19280672320550896
47,4396.0,0.1178343949044586,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19138338483912015,0.19264934728267039
48,4397.0,0.12101910828025478,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1913566517317707,0.1924647802219764
49,4398.0,0.12420382165605096,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19134168119165498,0.19225282638140404
50,4399.0,0.12738853503184713,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19132884930012722,0.1920133371916597
51,4400.0,0.1305732484076433,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19150421848433974,0.19174620598666736
52,4401.0,0.1337579617834395,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19200787022680366,0.19145136345691027
53,4402.0,0.13694267515923567,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19133740389447906,0.19112877361818345
54,4403.0,0.14012738853503184,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19130211619277776,0.19077843020774168
55,4404.0,0.14331210191082802,0.0,0.0,1.0,0.0,sassena_ID0000005,0.191440059026701,0.19040035343614062
56,4405.0,0.1464968152866242,0.0,0.0,1.0,0.0,sassena_ID0000005,0.1914015633521178,0.1899945870367174
57,4406.0,0.14968152866242038,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19133847321877304,0.1895611955660337
58,4407.0,0.15286624203821658,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19132884930012722,0.1891002619180615
59,4408.0,0.15605095541401276,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19136948362329845,0.18861188502269735
60,4409.0,0.15923566878980894,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19133312659730314,0.1880961777056458
61,4410.0,0.16242038216560511,0.0,0.0,1.0,0.0,sassena_ID0000005,0.19136199835324058,0.187553264691987
