row ID,id,time,atoms,cores,timesteps,outfreq,task,stime,Prediction (stime)
1,4249.0,0.0031847133757961785,0.0,0.0,0.0,0.0,sassena_ID0000005,0.29299922636140724,0.34097134709932037
2,4250.0,0.006369426751592357,0.0,0.0,0.0,0.0,sassena_ID0000005,0.1479878840328862,0.1591144690777107
3,4251.0,0.009554140127388536,0.0,0.0,0.0,0.0,sassena_ID0000005,0.1576518101831819,0.1560227832113018
4,4252.0,0.012738853503184714,0.0,0.0,0.0,0.0,sassena_ID0000005,0.11841915476705611,0.153964715012633
5,4253.0,0.01592356687898089,0.0,0.0,0.0,0.0,sassena_ID0000005,0.1695842020376854,0.13926252695821723
6,4254.0,0.019108280254777073,0.0,0.0,0.0,0.0,sassena_ID0000005,0.15162005166332299,0.08935894104305536
7,4268.0,0.0031847133757961785,0.0,0.0,0.0,1.0,sassena_ID0000005,0.3523595977079318,0.4002655239684014
8,4269.0,0.006369426751592357,0.0,0.0,0.0,1.0,sassena_ID0000005,0.26055885553938346,0.26711695532318547
9,4270.0,0.009554140127388536,0.0,0.0,0.0,1.0,sassena_ID0000005,0.26055885553938346,0.2518070014056095
10,4271.0,0.012738853503184714,0.0,0.0,0.0,1.0,sassena_ID0000005,0.09497397165073497,0.12861305537608256
11,4360.0,0.0031847133757961785,0.0,0.0,1.0,0.0,sassena_ID0000005,1.3112518521432413E-5,0.25870944110747907
12,4361.0,0.006369426751592357,0.0,0.0,1.0,0.0,sassena_ID0000005,0.25885422813159725,0.029144190359454966
13,4362.0,0.009554140127388536,0.0,0.0,1.0,0.0,sassena_ID0000005,0.024703984894378663,0.020841139858439505
14,4363.0,0.012738853503184714,0.0,0.0,1.0,0.0,sassena_ID0000005,0.020416191337870267,0.01977806796074498
15,4364.0,0.01592356687898089,0.0,0.0,1.0,0.0,sassena_ID0000005,0.019917915634055833,0.021513352106734423
16,4365.0,0.019108280254777073,0.0,0.0,1.0,0.0,sassena_ID0000005,0.019380302374677104,0.021141742294856124
17,4366.0,0.02229299363057325,0.0,0.0,1.0,0.0,sassena_ID0000005,0.019000039337555567,0.020712394829977752
18,4367.0,0.025477707006369428,0.0,0.0,1.0,0.0,sassena_ID0000005,0.01886891415234124,0.020313458528729626
19,4368.0,0.028662420382165606,0.0,0.0,1.0,0.0,sassena_ID0000005,0.01886891415234124,0.019969074461629443
20,4369.0,0.03184713375796178,0.0,0.0,1.0,0.0,sassena_ID0000005,0.01896070178199127,0.019685892649528712
21,4370.0,0.03503184713375796,0.0,0.0,1.0,0.0,sassena_ID0000005,0.019000039337555567,0.019463094284828845
22,4371.0,0.038216560509554146,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018501763633741133,0.019299534156293485
23,4372.0,0.04140127388535032,0.0,0.0,1.0,0.0,sassena_ID0000005,0.019039376893119863,0.019198201852913578
24,4373.0,0.0445859872611465,0.0,0.0,1.0,0.0,sassena_ID0000005,0.01863288881895546,0.019168446771343023
25,4374.0,0.04777070063694268,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018842689115298374,0.01921804872530126
26,4375.0,0.050955414012738856,0.0,0.0,1.0,0.0,sassena_ID0000005,0.019236064670941348,0.019343676155667566
27,4376.0,0.054140127388535034,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018291963337398215,0.019574168342080957
28,4377.0,0.05732484076433121,0.0,0.0,1.0,0.0,sassena_ID0000005,0.01838375096704824,0.01996967371560033
29,4378.0,0.06050955414012739,0.0,0.0,1.0,0.0,sassena_ID0000005,0.019327852300591374,0.020295178266460448
30,4379.0,0.06369426751592357,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018462426078176837,0.019808166319548293
31,4380.0,0.06687898089171974,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018370638448526808,0.018094660461248732
32,4381.0,0.07006369426751592,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018829576596776944,0.016197726270643992
33,4382.0,0.0732484076433121,0.0,0.0,1.0,0.0,sassena_ID0000005,0.019340964819112808,0.015772536759551047
34,4383.0,0.07643312101910829,0.0,0.0,1.0,0.0,sassena_ID0000005,0.01886891415234124,0.016582109058614476
35,4384.0,0.07961783439490447,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018121500596619593,0.01765949200608146
36,4385.0,0.08280254777070065,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018672226374519756,0.01833891992977316
37,4386.0,0.08598726114649682,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018934476744948404,0.01862433126437416
38,4387.0,0.089171974522293,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018842689115298374,0.01869908016641527
39,4388.0,0.09235668789808918,0.0,0.0,1.0,0.0,sassena_ID0000005,0.01918361459685562,0.018683268051476028
40,4389.0,0.09554140127388536,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018344413411483945,0.01863271388445381
41,4390.0,0.09872611464968153,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018344413411483945,0.01857063069113298
42,4391.0,0.10191082802547771,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018672226374519756,0.01850629233640875
43,4392.0,0.10509554140127389,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018134613115141026,0.0184433246221539
44,4393.0,0.10828025477707007,0.0,0.0,1.0,0.0,sassena_ID0000005,0.018396863485569674,0.018383092529599555
45,4394.0,0.11146496815286625,0.0,0.0,1.0,0.0,sassena_ID0000005,0.017924812818798107,0.01832605128203712
