row ID,id,time,atoms,cores,timesteps,outfreq,task,write_bytes,Prediction (write_bytes)
1,4239.0,0.0031847133757961785,0.0,0.0,0.0,0.0,namd_ID0000002,0.5501062493000609,0.7329343780994648
2,4240.0,0.006369426751592357,0.0,0.0,0.0,0.0,namd_ID0000002,0.3002314507957157,0.1660780523200666
3,4241.0,0.009554140127388536,0.0,0.0,0.0,0.0,namd_ID0000002,0.1238276543392106,0.11827594152587376
4,4258.0,0.0031847133757961785,0.0,0.0,0.0,1.0,namd_ID0000002,0.6459545998483053,0.7287552592963439
5,4259.0,0.006369426751592357,0.0,0.0,0.0,1.0,namd_ID0000002,0.11806279245558608,0.03400255738235332
6,4260.0,0.009554140127388536,0.0,0.0,0.0,1.0,namd_ID0000002,0.005699416377808547,0.02140713861696074
7,4275.0,0.0031847133757961785,0.0,0.0,1.0,0.0,namd_ID0000002,0.8184685674493083,0.8005903892827532
8,4276.0,0.006369426751592357,0.0,0.0,1.0,0.0,namd_ID0000002,0.12276316840080112,0.13811631762818372
9,4277.0,0.009554140127388536,0.0,0.0,1.0,0.0,namd_ID0000002,0.15155057632546756,0.13110677234716517
10,4278.0,0.012738853503184714,0.0,0.0,1.0,0.0,namd_ID0000002,0.15031752642217647,0.13763117254581939
11,4279.0,0.01592356687898089,0.0,0.0,1.0,0.0,namd_ID0000002,0.12153436152637434,0.14059504247697754
12,4280.0,0.019108280254777073,0.0,0.0,1.0,0.0,namd_ID0000002,0.14997294104774267,0.14055033537295927
13,4281.0,0.02229299363057325,0.0,0.0,1.0,0.0,namd_ID0000002,0.12152188959304595,0.13923860732520646
14,4282.0,0.025477707006369428,0.0,0.0,1.0,0.0,namd_ID0000002,0.14997306962437493,0.13786915509775025
15,4283.0,0.028662420382165606,0.0,0.0,1.0,0.0,namd_ID0000002,0.12144744372297238,0.13691491513392853
16,4284.0,0.03184713375796178,0.0,0.0,1.0,0.0,namd_ID0000002,0.1500557443989126,0.13640366143733798
17,4285.0,0.03503184713375796,0.0,0.0,1.0,0.0,namd_ID0000002,0.12145361540132045,0.13620140268323883
18,4286.0,0.038216560509554146,0.0,0.0,1.0,0.0,namd_ID0000002,0.12123452081996403,0.13604637572684886
19,4287.0,0.04140127388535032,0.0,0.0,1.0,0.0,namd_ID0000002,0.15121666281151064,0.13555664697321645
20,4288.0,0.0445859872611465,0.0,0.0,1.0,0.0,namd_ID0000002,0.12200469484715001,0.13444806122633465
21,4289.0,0.04777070063694268,0.0,0.0,1.0,0.0,namd_ID0000002,0.15029926854039677,0.13268219119275693
22,4290.0,0.050955414012738856,0.0,0.0,1.0,0.0,namd_ID0000002,0.1219353920423665,0.13039232249293994
23,4291.0,0.054140127388535034,0.0,0.0,1.0,0.0,namd_ID0000002,0.12177428552215548,0.1277568855600531
24,4292.0,0.05732484076433121,0.0,0.0,1.0,0.0,namd_ID0000002,0.14997808411303273,0.12492963173493199
25,4293.0,0.06050955414012739,0.0,0.0,1.0,0.0,namd_ID0000002,0.12151571791469788,0.12202122560373568
26,4294.0,0.06369426751592357,0.0,0.0,1.0,0.0,namd_ID0000002,0.15009907472398132,0.1191038091673647
27,4295.0,0.06687898089171974,0.0,0.0,1.0,0.0,namd_ID0000002,0.030032672608021404,0.11622139771435039
28,4444.0,0.0031847133757961785,0.0,0.0,1.0,1.0,namd_ID0000002,0.7281992855510852,0.7298297749642663
29,4445.0,0.006369426751592357,0.0,0.0,1.0,1.0,namd_ID0000002,0.03526599869391857,0.03945413021497925
30,4446.0,0.009554140127388536,0.0,0.0,1.0,1.0,namd_ID0000002,0.0351462938492925,0.029110954268750475
31,4447.0,0.012738853503184714,0.0,0.0,1.0,1.0,namd_ID0000002,0.03514127936063469,0.02885686457363551
32,4448.0,0.01592356687898089,0.0,0.0,1.0,1.0,namd_ID0000002,0.03514050790084118,0.029635204240077574
33,4449.0,0.019108280254777073,0.0,0.0,1.0,1.0,namd_ID0000002,0.03527885635714371,0.030592848031897033
34,4450.0,0.02229299363057325,0.0,0.0,1.0,1.0,namd_ID0000002,0.03513125038331908,0.03148180914201692
35,4451.0,0.025477707006369428,0.0,0.0,1.0,1.0,namd_ID0000002,0.035244912126229336,0.032149828018206004
36,4452.0,0.028662420382165606,0.0,0.0,1.0,1.0,namd_ID0000002,0.03508071976684427,0.03252678470503563
37,4453.0,0.03184713375796178,0.0,0.0,1.0,1.0,namd_ID0000002,0.03503121776342748,0.03261929963963286
38,4454.0,0.03503184713375796,0.0,0.0,1.0,1.0,namd_ID0000002,0.035069919329735154,0.032478311056649965
39,4455.0,0.038216560509554146,0.0,0.0,1.0,1.0,namd_ID0000002,0.03481456613808384,0.03216654500476254
40,4456.0,0.04140127388535032,0.0,0.0,1.0,1.0,namd_ID0000002,0.006283411441494482,0.03173999786856764
41,4457.0,0.0445859872611465,0.0,0.0,1.0,1.0,namd_ID0000002,0.034890169197847674,0.0312417759534827
42,4458.0,0.04777070063694268,0.0,0.0,1.0,1.0,namd_ID0000002,0.03493632820882593,0.030702437794978478
43,4459.0,0.050955414012738856,0.0,0.0,1.0,1.0,namd_ID0000002,0.03508946297783737,0.030142580009139355
44,4460.0,0.054140127388535034,0.0,0.0,1.0,1.0,namd_ID0000002,0.03507531954828971,0.029575616275180374
45,4461.0,0.05732484076433121,0.0,0.0,1.0,1.0,namd_ID0000002,0.03508393418265056,0.029010046668232797
46,4462.0,0.06050955414012739,0.0,0.0,1.0,1.0,namd_ID0000002,0.03497040101637256,0.02845111452055212
47,4463.0,0.06369426751592357,0.0,0.0,1.0,1.0,namd_ID0000002,0.002657807565269034,0.027901950404862257
48,4563.0,0.0031847133757961785,0.0,1.0,0.0,0.0,namd_ID0000002,0.8132819146809184,0.7822732956380384
49,4572.0,0.0031847133757961785,0.0,1.0,0.0,1.0,namd_ID0000002,0.7586419890393563,0.7545286175427414
50,4573.0,0.006369426751592357,0.0,1.0,0.0,1.0,namd_ID0000002,0.0023277513502796476,0.03823524759308276
51,4583.0,0.0031847133757961785,0.0,1.0,1.0,0.0,namd_ID0000002,0.8722469010781536,0.7970672263471466
52,4584.0,0.006369426751592357,0.0,1.0,1.0,0.0,namd_ID0000002,0.1517917860875712,0.1679776050516524
53,4585.0,0.009554140127388536,0.0,1.0,1.0,0.0,namd_ID0000002,0.18027626746665332,0.14323747049509042
54,4586.0,0.012738853503184714,0.0,1.0,1.0,0.0,namd_ID0000002,0.15171091138588508,0.1441843362032259
55,4587.0,0.01592356687898089,0.0,1.0,1.0,0.0,namd_ID0000002,0.15695670940511064,0.14662525772397028
56,4588.0,0.019108280254777073,0.0,1.0,1.0,0.0,namd_ID0000002,0.17652517279735047,0.14631589661241862
57,4589.0,0.02229299363057325,0.0,1.0,1.0,0.0,namd_ID0000002,0.15161782190413506,0.1423704436678521
58,4590.0,0.025477707006369428,0.0,1.0,1.0,0.0,namd_ID0000002,0.18013007583578344,0.13576935125352996
59,4591.0,0.028662420382165606,0.0,1.0,1.0,0.0,namd_ID0000002,0.0605909664886866,0.12822214780897107
60,4670.0,0.0031847133757961785,0.0,1.0,1.0,1.0,namd_ID0000002,0.7581910707900507,0.7536413856519771
61,4671.0,0.006369426751592357,0.0,1.0,1.0,1.0,namd_ID0000002,0.035812320804354834,0.05794927851874701
62,4672.0,0.009554140127388536,0.0,1.0,1.0,1.0,namd_ID0000002,0.037911848632388216,0.03887787294614843
63,4673.0,0.012738853503184714,0.0,1.0,1.0,1.0,namd_ID0000002,0.03529981434820069,0.035546827531853425
64,4674.0,0.01592356687898089,0.0,1.0,1.0,1.0,namd_ID0000002,0.03556956812266416,0.03394930779499008
65,4675.0,0.019108280254777073,0.0,1.0,1.0,1.0,namd_ID0000002,0.036655526358659624,0.032702219781076264
66,4676.0,0.02229299363057325,0.0,1.0,1.0,1.0,namd_ID0000002,0.03855036018814875,0.03161784767127724
67,4677.0,0.025477707006369428,0.0,1.0,1.0,1.0,namd_ID0000002,0.03742698615216813,0.030636578506922058
68,4678.0,0.028662420382165606,0.0,1.0,1.0,1.0,namd_ID0000002,0.03579483438236864,0.02971710000992294
69,4751.0,0.0031847133757961785,1.0,0.0,0.0,0.0,namd_ID0000002,0.8435098951933296,0.8253641786657461
70,4752.0,0.006369426751592357,1.0,0.0,0.0,0.0,namd_ID0000002,0.12521319612835188,0.15938729376302388
71,4753.0,0.009554140127388536,1.0,0.0,0.0,0.0,namd_ID0000002,0.1796843006517678,0.13408667603787455
72,4754.0,0.012738853503184714,1.0,0.0,0.0,0.0,namd_ID0000002,0.05998922784974997,0.12709419923843204
73,4779.0,0.0031847133757961785,1.0,0.0,0.0,1.0,namd_ID0000002,0.7881800273431065,0.771565061576641
74,4780.0,0.006369426751592357,1.0,0.0,0.0,1.0,namd_ID0000002,0.008088241628407617,0.03921972814001784
75,4781.0,0.009554140127388536,1.0,0.0,0.0,1.0,namd_ID0000002,0.0638228687169582,0.02662455131309903
76,4782.0,0.012738853503184714,1.0,0.0,0.0,1.0,namd_ID0000002,0.0020216103888890244,0.025861995829667795
77,4825.0,0.0031847133757961785,1.0,0.0,1.0,0.0,namd_ID0000002,0.8449027658505093,0.8454366937654233
78,4826.0,0.006369426751592357,1.0,0.0,1.0,0.0,namd_ID0000002,0.12396664567867438,0.1549654840612649
79,4827.0,0.009554140127388536,1.0,0.0,1.0,0.0,namd_ID0000002,0.18065775433454326,0.14712519509809216
80,4828.0,0.012738853503184714,1.0,0.0,1.0,0.0,namd_ID0000002,0.17997925544615254,0.1568284129905128
81,4829.0,0.01592356687898089,1.0,0.0,1.0,0.0,namd_ID0000002,0.12175384183762751,0.16128677187665258
82,4830.0,0.019108280254777073,1.0,0.0,1.0,0.0,namd_ID0000002,0.17955006664769732,0.16134523090375144
83,4831.0,0.02229299363057325,1.0,0.0,1.0,0.0,namd_ID0000002,0.12115313181174889,0.1590768503510341
84,4832.0,0.025477707006369428,1.0,0.0,1.0,0.0,namd_ID0000002,0.17943293333571628,0.15658249991347903
85,4833.0,0.028662420382165606,1.0,0.0,1.0,0.0,namd_ID0000002,0.17924855444506774,0.1558468862955818
86,4834.0,0.03184713375796178,1.0,0.0,1.0,0.0,namd_ID0000002,0.12147225901299691,0.15706769966096246
87,4835.0,0.03503184713375796,1.0,0.0,1.0,0.0,namd_ID0000002,0.1795562383260454,0.1584323878062731
88,4836.0,0.038216560509554146,1.0,0.0,1.0,0.0,namd_ID0000002,0.17924379710967445,0.15885202179792465
89,4837.0,0.04140127388535032,1.0,0.0,1.0,0.0,namd_ID0000002,0.12106119951968912,0.15841153458935803
