row ID,id,time,atoms,cores,timesteps,outfreq,task,write_bytes,Prediction (write_bytes)
1,4249.0,0.0031847133757961785,0.0,0.0,0.0,0.0,sassena_ID0000005,0.02368651576998823,0.02018739727243391
2,4250.0,0.006369426751592357,0.0,0.0,0.0,0.0,sassena_ID0000005,5.649657221127249E-4,4.510949166512188E-4
3,4251.0,0.009554140127388536,0.0,0.0,0.0,0.0,sassena_ID0000005,6.239823963161251E-4,5.73113777192074E-4
4,4252.0,0.012738853503184714,0.0,0.0,0.0,0.0,sassena_ID0000005,4.655759853823798E-4,7.632618924674876E-4
5,4253.0,0.01592356687898089,0.0,0.0,0.0,0.0,sassena_ID0000005,6.69627100765378E-4,9.79579607274116E-4
6,4254.0,0.019108280254777073,0.0,0.0,0.0,0.0,sassena_ID0000005,6.098389667684693E-4,0.001206629341566802
7,4268.0,0.0031847133757961785,0.0,0.0,0.0,1.0,sassena_ID0000005,0.023855594041398843,0.02306656717076709
8,4269.0,0.006369426751592357,0.0,0.0,0.0,1.0,sassena_ID0000005,0.0010451994435717663,4.113350080209599E-4
9,4270.0,0.009554140127388536,0.0,0.0,0.0,1.0,sassena_ID0000005,0.0010310560140241102,3.461746708902063E-4
10,4271.0,0.012738853503184714,0.0,0.0,0.0,1.0,sassena_ID0000005,4.19031244507367E-4,3.6864057869045834E-4
11,4360.0,0.0031847133757961785,0.0,0.0,1.0,0.0,sassena_ID0000005,0.01754466720060256,0.029121313491318638
12,4361.0,0.006369426751592357,0.0,0.0,1.0,0.0,sassena_ID0000005,0.01106710504440844,0.002163157847542274
13,4362.0,0.009554140127388536,0.0,0.0,1.0,0.0,sassena_ID0000005,1.967222473446675E-4,0.0011425127299282802
14,4363.0,0.012738853503184714,0.0,0.0,1.0,0.0,sassena_ID0000005,0.0,0.0012033486336475259
15,4364.0,0.01592356687898089,0.0,0.0,1.0,0.0,sassena_ID0000005,1.6676389203008744E-4,0.0012661542337062928
16,4365.0,0.019108280254777073,0.0,0.0,1.0,0.0,sassena_ID0000005,4.3201748436476005E-5,0.0013263856933153951
17,4366.0,0.02229299363057325,0.0,0.0,1.0,0.0,sassena_ID0000005,6.595981234497675E-5,0.0013900089439173727
18,4367.0,0.025477707006369428,0.0,0.0,1.0,0.0,sassena_ID0000005,1.3384827417372476E-4,0.001462736740638731
19,4368.0,0.028662420382165606,0.0,0.0,1.0,0.0,sassena_ID0000005,1.8000728515198336E-5,0.001549916613661903
20,4369.0,0.03184713375796178,0.0,0.0,1.0,0.0,sassena_ID0000005,9.116083226625442E-5,0.0016575384977846287
21,4370.0,0.03503184713375796,0.0,0.0,1.0,0.0,sassena_ID0000005,5.914525083565167E-5,0.0017936105975682299
22,4371.0,0.038216560509554146,0.0,0.0,1.0,0.0,sassena_ID0000005,5.5545105132612005E-5,0.0019694624347182995
