task,rmse,absDivMean,relative,runs
mAdd,220.985170657126,0.7525944639074511,3.019647439223065,1
mAdd2,0.2865522576893742,0.4462327159492988,0.5084649813943566,1
mBackground,1.051604983141575,0.6499027265084608,1.273105688944179,1
mBgModel,1020.231236791155,0.8710120282088731,5.978991729994053,1
mConcatFit,192.3230776000589,0.7639161062535338,5.269814858863435,1
mDiffFit,0.4926151029962405,0.5361410172347097,0.6820047412182259,1
mImgtbl,5.346817628300167,0.8470180372288915,2.549172020024967,1
mImgtbl2,0.3542531496783453,0.558505416190155,0.6494023792864997,1
mJPEG,0.524629663675522,0.4798538344639731,0.5283834112656765,1
mProjectPP,2.666602510603156,0.5476799276819538,0.5422729363674691,1
mShrink,37.01144945588323,0.8737065062241622,4.138645778973808,1
