task,rmse,absDivMean,relative,runs
mAdd,199.96225454929385,0.640363263574203,3.25247730220251,5
mAdd2,0.28803813878264706,0.5016377692736265,0.570009405932083,5
mBackground,1.0367662942309481,0.6449225339871294,1.1067062514285262,5
mBgModel,908.8095768333453,1.0392595948304304,6.255882905868374,5
mConcatFit,157.89265936025998,0.8631309069044578,6.270685302148853,5
mDiffFit,0.4850294391801267,0.5292714171705442,0.6462629631323361,5
mImgtbl,5.252426112186912,0.8702901209009101,2.2256638075777304,5
mImgtbl2,0.44396655650897465,0.6649328416613787,0.7444458407122394,5
mJPEG,0.5071722681082479,0.5094310531139065,0.6054397669643306,5
mProjectPP,2.6094403891993716,0.5476909813767881,0.5615608331891133,5
mShrink,37.72549432949636,0.8359604075038908,3.3785753472202167,5
