task,rmse,absDivMean,relative,runs
mAdd,27.254671606558567,0.09186427036980276,0.21338316377110597,5
mAdd2,0.3421341885434993,0.5024065959412412,0.48393491756994944,5
mBackground,0.9841887085783536,0.5501593258376228,0.9699693485878977,5
mBgModel,434.95060417256207,0.43233003456701835,0.49443958702498964,5
mConcatFit,77.30815101836085,0.2921516804016641,0.3356755419323761,5
mDiffFit,0.3878679881535497,0.3648197454455985,0.47191978191033346,5
mImgtbl,4.229659628959853,0.5894445232710411,1.7329715898396993,5
mImgtbl2,0.5025685999651552,0.8622245074599635,0.6878612692005184,5
mJPEG,0.5831450305205592,0.3608945268791242,0.3236287511999767,5
mProjectPP,1.525695840720213,0.23739424095675687,0.24980947010430432,5
mShrink,21.765940717341277,0.3790859941596354,0.9137216177577459,5
